BADA3_AIRCRAFT_MAPPING;;;;
BADA3_TYPE;ICAO_CODE;USER_ACFT_ID;AIRFRAME;ENGINE
DR40__;BSWN;;;
S22T__;BT36;;;
AJET__;BT7;;;
T206__;BTB2;;;
T206__;BTB3;;;
L39U__;BTX1;;;
C188__;BU20;;;
DV20__;BU31;;;
C162__;BU33;;;
EV97__;BU81;;;
HAWK__;BUC;;;
SVNH__;BUCA;;;
SVNH__;BUSH;;;
C162__;BW60;;;
C162__;BW6T;;;
C162__;BX2;;;
E500__;C02T;;;
PAY1__;C04T;;;
P750__;C06T;;;
E500__;C07T;;;
D228__;C08T;;;
A10U__;C1;;;
L39U__;C101;;;
E500__;C10T;;;
F27U__;C119;;;
C152__;C120;;;
P38U__;C123;;;
S2PU__;C125;;;
C130__;C130;;;
C130__;C133;;;
B703__;C135;;;
C152__;C140;;;
A310__;C141;;;
E500__;C14T;;;
T154__;C15;;;
C150__;C150;;;
C152__;C152;;;
C160__;C160;;;
C162__;C162;;;
B764__;C17;;;
C152__;C170;;;
C172__;C172;;;
EV97__;C175;;;
C172__;C177;;;
C182__;C180;;;
C182__;C182;;;
C182__;C185;;;
C188__;C188;;;
M20P__;C190;;;
C162__;C192;;;
C182__;C195;;;
C160__;C2;;;
C206__;C205;;;
C206__;C206;;;
C206__;C207;;;
C208__;C208;;;
C210__;C210;;;
JS32__;C212;;;
PAY1__;C21T;;;
SF50__;C22J;;;
S22T__;C240;;;
C25A__;C25A;;;
C25B__;C25B;;;
C25C__;C25C;;;
C525__;C25M;;;
DV20__;C270;;;
C27J__;C27J;;;
F27U__;C295;;;
PA34__;C303;;;
RV8U__;C306;;;
RV8U__;C309;;;
C30J__;C30J;;;
C310__;C310;;;
E300__;C311;;;
PA34__;C320;;;
C340__;C335;;;
BE76__;C336;;;
DA42__;C337;;;
C340__;C340;;;
TEX2__;C365;;;
C402__;C402;;;
C421__;C404;;;
AN38__;C408;;;
C402__;C411;;;
C414__;C414;;;
C162__;C42;;;
C421__;C421;;;
F406__;C425;;;
PAY3__;C441;;;
F27U__;C46;;;
A345__;C5;;;
C551__;C500;;;
C551__;C501;;;
C510__;C510;;;
C525__;C525;;;
E50P__;C526;;;
C550__;C550;;;
C551__;C551;;;
C55B__;C55B;;;
C560__;C560;;;
C56X__;C56X;;;
A345__;C5M;;;
C650__;C650;;;
C680__;C680;;;
C680__;C68A;;;
C700__;C700;;;
DA40__;C72R;;;
C750__;C750;;;
P28A__;C77R;;;
S2PU__;C82;;;
TB20__;C82R;;;
C82S__;C82S;;;
C82S__;C82T;;;
A20N__;C919;;;
C30J__;C97;;;
BE9L__;CA12;;;
C402__;CA19;;;
K100__;CA1T;;;
C182__;CA25;;;
E300__;CA41;;;
E500__;CA7T;;;
E500__;CA8;;;
TBM7__;CA9;;;
MAGC__;CABI;;;
SF50__;CAJ;;;
S2PU__;CARV;;;
S2PU__;CAT;;;
P06T__;CAT1;;;
P06T__;CAT2;;;
SVNH__;CB1;;;
MAGC__;CC11;;;
C172__;CC19;;;
L410__;CD2;;;
SVNH__;CE15;;;
SVNH__;CE22;;;
SVNH__;CE23;;;
DV20__;CE25;;;
DV20__;CE27;;;
SR22__;CE43;;;
P180__;CEL5;;;
TEX2__;CH1;;;
MAGC__;CH10;;;
C162__;CH20;;;
C162__;CH25;;;
MAGC__;CH2T;;;
C172__;CH3;;;
MAGC__;CH30;;;
C152__;CH40;;;
SVNH__;CH50;;;
EV97__;CH60;;;
